temp_celsius,usage_kwh
30.6,48.9
25.1,43.65
30.3,48.45
32.6,51.9
24.5,42.75
34.2,54.3
34.6,56.9
36.8,59.2
32.8,52.2
36.9,59.35
30.3,52.45
29.7,48.55
37.7,59.55
29.2,46.8
36.8,61.2
33.1,56.65
26.3,44.45
27.9,48.85
32.3,55.45
25.4,45.1
26.6,45.9
35.2,55.8
24.8,42.2
37.4,62.1
25.5,44.25
30.6,52.9
28.4,45.6
33.3,56.95
31.4,52.1
28.0,47.0
32.6,54.9
35.6,60.4
35.1,58.65
32.3,51.45
27.7,44.55
36.2,61.3
31.8,50.7
25.1,43.65
31.4,54.1
28.6,49.9
31.6,54.4
25.9,41.85
32.8,54.2
29.7,51.55
37.1,61.65
33.9,56.85
33.8,53.7
25.0,40.5
30.2,52.3
35.2,58.8
